Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene1625	191	177	90	59	40	12	21	21	37	24
Gene1626	64	26	27	39	5	45	9	146	56	52
Gene1627	0	10	1	2	0	0	0	0	0	0
Gene1628	0	0	0	0	0	0	0	0	8	4
Gene1629	7	2	19	5	0	1	10	10	9	2
Gene1630	0	7	0	3	3	2	7	2	2	0
Gene1631	126	188	197	213	40	88	72	297	233	181
Gene1632	72	138	110	99	26	62	83	121	99	127
Gene1633	75	28	21	10	5	10	6	6	4	1
Gene1634	12	0	10	4	3	0	1	10	0	4
Gene1635	9	2	6	19	5	42	5	35	20	4
Gene1636	1	5	2	1	0	2	0	0	0	3
Gene1637	39	35	48	41	11	22	16	21	16	13
Gene1638	48	69	81	26	16	39	11	83	49	38
Gene1639	86	69	90	69	12	173	295	153	217	82
Gene1640	0	0	7	0	0	0	0	0	0	1
Gene1641	29	26	38	9	4	86	58	53	51	75
Gene1642	10	10	1	0	0	44	22	38	16	5
Gene1643	5	7	3	6	0	0	2	0	3	1
Gene1644	33	46	42	27	2	45	20	28	38	22
Gene1645	80	58	28	37	16	68	22	52	46	58
Gene1646	43	17	29	28	3	56	67	149	17	46
Gene1647	77	42	37	28	8	65	16	65	18	37
Gene1648	13	8	25	5	4	82	32	30	69	21
Gene1649	126	74	78	79	8	96	182	196	300	186
Gene1650	1	15	19	2	0	11	10	15	9	28
Gene1651	98	59	64	42	8	330	231	276	183	226
Gene1652	2	5	1	1	0	3	3	0	5	2
Gene1653	9	8	9	8	0	6	7	16	12	9
Gene1654	4	0	0	6	0	7	3	0	1	2
Gene1655	14	21	14	11	1	8	14	28	17	14
Gene1656	3	17	1	6	0	1	0	0	0	1
Gene1657	47	36	51	32	6	18	36	49	79	21
Gene1658	0	1	1	2	0	3	2	3	5	1
Gene1659	5	5	6	4	0	2	22	9	3	2
Gene1660	66	53	54	72	11	44	50	58	87	42
Gene1661	11	8	58	8	1	64	117	250	118	54
Gene1662	7	3	5	4	0	1	3	5	1	1
Gene1663	7	17	6	14	11	10	6	4	4	5
Gene1664	49	17	20	11	8	48	22	57	33	43
Gene1665	137	77	75	62	18	23	7	8	34	5
Gene1666	27	10	45	9	3	7	14	26	11	38
Gene1667	9	4	7	21	0	42	4	1	135	10
Gene1668	12	33	30	15	12	56	32	51	48	25
Gene1669	0	0	6	2	3	0	1	6	1	0
Gene1670	4	0	1	0	1	0	0	0	1	3
Gene1671	25	5	14	0	3	6	20	35	28	4
Gene1672	42	25	10	23	9	32	29	47	37	37
Gene1673	56	16	46	19	15	79	152	133	21	54
Gene1674	10	21	24	16	5	4	20	40	10	21
Gene1675	0	3	2	6	0	2	2	0	0	0
Gene1676	278	185	215	232	61	65	75	65	45	44
Gene1677	0	2	0	0	0	9	1	0	4	0
Gene1678	3	8	20	8	3	47	15	27	104	44
Gene1679	97	35	82	59	28	60	50	128	44	41
Gene1680	8	2	9	19	0	4	5	22	2	4
Gene1681	21	56	36	51	18	300	327	689	329	242
Gene1682	0	1	0	0	0	6	5	13	5	5
Gene1683	101	147	83	40	8	387	144	316	280	97
Gene1684	3	3	9	7	0	14	2	59	33	10
Gene1685	43	54	25	7	2	30	16	34	47	53
Gene1686	6	4	5	9	10	7	8	5	10	3
Gene1687	71	71	39	29	2	45	20	44	35	26
Gene1688	1	3	0	3	1	13	5	8	2	3
Gene1689	41	28	15	25	3	13	14	11	23	16
Gene1690	20	10	45	26	4	13	7	42	12	12
Gene1691	1	23	1	1	4	3	0	1	10	1
Gene1692	0	0	0	2	0	0	2	0	1	0
Gene1693	29	48	44	52	0	7	17	18	25	12
Gene1694	23	5	17	18	9	7	1	2	4	1
Gene1695	0	1	0	0	2	0	0	0	0	0
Gene1696	12	8	0	25	1	23	13	31	14	15
Gene1697	89	115	56	52	23	141	60	140	175	112
Gene1698	22	19	21	5	5	78	45	153	33	57
Gene1699	19	11	15	12	0	6	20	57	6	47
Gene1700	107	80	49	49	22	24	9	26	41	39
Gene1701	1	1	2	0	0	0	0	6	1	0
Gene1702	30	29	53	43	3	34	44	30	71	30
Gene1703	10	16	4	16	9	56	27	63	26	15
Gene1704	36	19	53	30	3	46	72	29	51	99
Gene1705	8	4	18	9	0	16	35	3	4	5
Gene1706	137	117	119	128	13	314	314	437	651	143
Gene1707	45	18	13	7	0	3	14	1	28	12
Gene1708	3	5	5	2	0	0	0	5	1	0
Gene1709	0	7	0	5	0	0	7	2	1	0
Gene1710	0	25	22	18	0	4	8	11	11	11
Gene1711	40	2	10	3	0	7	0	7	10	2
Gene1712	6	2	4	12	3	3	1	2	0	3
Gene1713	76	123	60	20	8	199	130	212	110	38
Gene1714	103	102	181	50	15	73	35	67	56	63
Gene1715	132	99	108	116	16	97	58	163	89	50
Gene1716	23	23	38	6	2	1	0	12	3	9
Gene1717	40	64	33	46	2	21	26	35	14	14
Gene1718	228	305	243	172	33	102	99	126	134	140
Gene1719	13	18	38	14	6	30	22	34	17	92
Gene1720	41	14	5	11	2	2	6	13	6	2
Gene1721	16	6	14	9	0	30	6	2	16	7
Gene1722	33	39	12	23	5	43	22	26	24	17
Gene1723	215	188	164	134	29	484	974	1005	1083	1249
Gene1724	7	7	13	14	1	9	41	36	19	12
Gene1725	0	11	10	12	1	32	4	1	11	5
Gene1726	53	51	54	41	7	46	50	8	26	18
Gene1727	7	17	1	17	2	75	11	5	5	14
Gene1728	1	6	2	0	0	2	0	1	0	0
Gene1729	66	54	51	40	27	86	92	107	71	112
Gene1730	0	2	0	3	0	0	0	10	0	7
Gene1731	49	53	14	60	6	9	0	2	9	6
Gene1732	42	71	50	66	15	7	6	7	19	14
Gene1733	117	48	90	122	25	243	388	513	456	293
Gene1734	3	20	1	23	0	2	1	1	4	2
Gene1735	1	0	0	0	0	1	0	0	0	0
Gene1736	46	38	50	78	6	5	7	17	4	4
Gene1737	88	76	28	10	3	24	21	26	38	38
Gene1738	11	3	3	13	0	17	3	0	11	6
Gene1739	13	8	0	10	9	9	4	8	1	3
Gene1740	9	33	6	9	1	7	3	5	5	3
Gene1741	52	47	44	89	18	11	15	27	30	30
Gene1742	10	13	13	4	8	3	1	1	4	0
Gene1743	36	3	8	22	0	5	67	41	51	31
Gene1744	7	33	33	17	0	18	18	37	84	18
Gene1745	39	44	23	37	0	28	20	22	24	17
Gene1746	18	13	7	5	0	50	13	17	7	10
Gene1747	0	1	4	2	0	34	9	19	10	17
Gene1748	12	14	12	21	3	1	10	10	3	2
Gene1749	20	1	1	0	3	2	4	13	67	7
Gene1750	33	65	49	31	1	21	30	30	17	18
Gene1751	1	5	7	5	0	0	1	4	0	4
Gene1752	1	0	6	1	1	5	2	11	101	0
Gene1753	7	0	3	0	0	2	0	4	0	5
Gene1754	10	10	20	4	0	47	35	18	45	10
Gene1755	2	1	0	0	3	0	1	0	2	0
Gene1756	35	73	29	32	10	56	68	251	106	230
Gene1757	132	231	101	191	37	46	22	12	42	6
Gene1758	109	40	92	19	3	19	25	13	24	30
Gene1759	1	0	0	0	0	1	21	10	0	0
Gene1760	92	105	31	63	25	347	215	430	128	208
Gene1761	154	230	349	95	95	35	21	36	27	24
Gene1762	13	10	33	15	9	35	12	59	54	27
Gene1763	6	2	9	2	1	1	0	3	1	0
Gene1764	3	14	0	18	3	2	1	2	3	1
Gene1765	31	62	42	43	22	43	83	214	84	122
Gene1766	7	3	1	30	2	17	0	14	14	0
Gene1767	2	2	6	1	0	6	0	0	2	4
Gene1768	22	15	27	25	4	4	2	2	2	3
Gene1769	11	28	3	7	0	10	3	6	2	3
Gene1770	38	51	149	37	12	250	111	380	181	165
Gene1771	1	1	0	0	0	0	2	0	0	0
Gene1772	68	93	86	64	22	45	31	81	82	34
Gene1773	87	83	41	37	12	45	60	25	33	16
Gene1774	6	4	1	1	0	0	4	3	1	1
Gene1775	15	29	16	12	4	44	95	57	50	51
Gene1776	14	8	12	25	5	57	31	50	38	46
Gene1777	81	59	34	17	14	5	4	2	2	1
Gene1778	6	25	5	17	0	9	23	33	16	29
Gene1779	110	78	81	39	6	29	36	15	42	10
Gene1780	36	7	2	9	0	28	63	7	45	58
Gene1781	13	29	28	25	8	27	47	37	51	7
Gene1782	43	16	29	24	4	6	7	3	2	2
Gene1783	29	43	43	75	22	68	34	13	52	47
Gene1784	13	14	22	2	3	22	7	31	34	36
Gene1785	17	9	26	18	1	53	56	6	110	93
Gene1786	56	29	54	55	8	53	77	143	73	87
Gene1787	3	4	6	4	0	1	0	0	2	0
Gene1788	168	202	53	128	18	16	12	25	10	17
Gene1789	54	43	51	69	1	60	40	87	66	70
Gene1790	24	13	11	13	1	1	2	3	6	2
Gene1791	1	0	3	2	1	0	0	2	1	0
Gene1792	65	48	49	14	1	11	23	15	10	10
Gene1793	44	3	26	45	0	54	136	213	58	58
Gene1794	26	32	1	10	1	11	13	22	32	60
Gene1795	0	50	6	2	0	13	26	23	42	3
Gene1796	2	7	6	1	0	11	4	14	6	0
Gene1797	73	181	224	46	36	35	11	29	8	15
Gene1798	16	35	15	25	17	1	2	0	1	0
Gene1799	46	16	27	23	2	40	35	81	93	36
Gene1800	10	5	9	7	3	12	3	12	14	7
Gene1801	24	19	46	50	0	2	1	4	5	2
Gene1802	23	82	108	36	20	34	29	75	39	9
Gene1803	67	65	61	33	5	68	52	26	49	58
Gene1804	31	17	38	10	5	7	13	1	11	18
Gene1805	6	5	3	1	5	9	2	0	10	5
Gene1806	29	19	22	23	0	5	22	6	20	11
Gene1807	431	244	413	262	128	740	685	1778	859	431
Gene1808	5	4	4	30	2	9	15	15	3	2
Gene1809	10	6	23	5	0	2	4	2	5	11
Gene1810	4	6	3	1	0	15	11	21	0	0
Gene1811	181	92	65	181	4	27	30	100	24	44
Gene1812	0	0	0	0	0	7	0	0	20	1
Gene1813	298	250	260	235	34	21	19	45	64	8
Gene1814	3	21	0	1	3	39	2	17	3	3
Gene1815	46	23	94	17	6	54	133	123	53	30
Gene1816	38	42	116	69	16	73	31	63	19	85
Gene1817	7	6	20	13	4	90	38	45	11	3
Gene1818	90	118	93	81	14	8	16	17	26	9
Gene1819	7	4	14	9	14	0	0	1	1	0
Gene1820	41	25	24	32	2	154	170	387	327	133
Gene1821	15	0	5	0	0	6	0	6	26	12
Gene1822	5	27	1	12	11	68	36	117	31	57
Gene1823	0	1	1	0	0	1	0	0	0	0
Gene1824	6	10	8	7	0	1	5	3	1	0
Gene1825	1	1	1	4	0	1	9	6	25	1
Gene1826	18	12	3	8	2	0	0	0	0	0
Gene1827	36	60	81	49	14	80	103	114	132	109
Gene1828	34	8	9	16	11	47	19	66	54	82
Gene1829	0	4	2	0	1	0	1	0	0	0
Gene1830	76	49	21	44	2	5	11	9	23	7
Gene1831	39	19	56	45	5	4	3	7	8	2
Gene1832	13	23	13	11	2	9	2	19	10	18
Gene1833	6	14	10	2	0	0	1	6	12	8
Gene1834	25	31	38	40	3	232	73	188	97	119
Gene1835	18	9	13	2	0	89	5	17	55	8
Gene1836	49	72	30	33	1	268	203	237	206	278
Gene1837	14	50	6	3	0	19	7	30	54	34
Gene1838	43	35	17	6	1	0	4	12	7	5
Gene1839	297	368	254	313	55	78	89	72	136	106
Gene1840	484	449	376	307	132	197	164	223	279	199
Gene1841	21	5	34	5	8	0	0	4	20	2
Gene1842	84	38	93	39	11	73	33	69	63	141
Gene1843	1	0	10	1	0	0	0	4	5	6
Gene1844	35	29	54	26	0	7	10	16	8	7
Gene1845	2	10	6	15	2	12	49	7	45	17
Gene1846	1	9	2	4	0	2	3	7	12	25
Gene1847	85	77	148	68	16	18	62	40	47	45
Gene1848	20	40	13	4	4	48	27	33	32	20
Gene1849	43	34	26	11	11	8	14	24	15	7
Gene1850	11	4	17	33	6	23	3	6	7	3
Gene1851	6	6	3	10	0	10	25	10	10	9
Gene1852	4	27	4	15	12	4	5	19	0	5
Gene1853	26	8	10	5	2	15	11	7	5	7
Gene1854	9	20	5	50	3	2	1	1	3	3
Gene1855	96	116	42	94	12	159	198	147	210	238
Gene1856	18	2	15	9	2	1	2	4	2	2
Gene1857	38	22	2	9	5	8	3	10	2	7
Gene1858	17	17	25	7	15	5	10	22	18	6
Gene1859	8	0	3	0	2	25	5	3	5	8
Gene1860	7	1	1	0	0	1	0	1	3	1
Gene1861	8	6	0	12	0	12	0	1	0	3
Gene1862	47	40	30	20	7	15	18	22	21	30
Gene1863	27	21	5	15	0	21	4	10	9	3
Gene1864	26	12	20	20	8	1	3	9	3	0
Gene1865	14	3	13	3	15	1	1	1	0	0
Gene1866	71	63	126	92	20	166	142	248	221	137
Gene1867	45	35	40	27	2	65	54	37	47	24
Gene1868	17	12	20	45	3	3	23	22	22	15
Gene1869	479	171	528	196	30	607	737	1717	1174	822
Gene1870	16	20	26	8	5	267	145	193	157	44
Gene1871	5	20	9	24	10	35	21	47	28	27
Gene1872	101	15	53	43	14	48	81	62	94	42
Gene1873	17	5	16	16	2	5	2	3	11	8
Gene1874	12	3	31	15	1	24	22	32	45	25
Gene1875	13	8	4	3	0	6	2	5	0	2
Gene1876	5	4	3	2	0	8	5	9	0	9
Gene1877	34	39	19	52	2	35	16	49	29	47
Gene1878	75	58	24	42	12	21	14	16	19	12
Gene1879	36	8	18	22	0	9	13	5	22	8
Gene1880	45	14	21	7	2	74	71	174	206	127
Gene1881	28	7	6	0	0	2	8	3	1	9
Gene1882	6	0	1	1	0	0	5	1	1	1
Gene1883	76	87	217	62	18	50	44	128	67	29
Gene1884	13	8	18	17	0	18	45	11	14	3
Gene1885	144	94	66	72	37	79	52	84	159	58
Gene1886	8	8	2	6	0	7	2	16	9	4
Gene1887	5	3	8	0	4	1	1	1	2	5
Gene1888	24	11	3	12	2	6	1	9	4	9
Gene1889	27	9	7	2	1	6	9	0	2	0
Gene1890	16	11	27	3	10	9	12	10	36	4
Gene1891	36	9	9	12	0	7	6	16	6	6
Gene1892	31	14	30	6	0	3	2	4	2	2
Gene1893	10	4	1	10	6	57	72	134	76	99
Gene1894	48	61	102	25	10	14	22	22	27	33
Gene1895	67	30	39	38	6	17	4	33	25	10
Gene1896	148	74	49	92	3	51	17	53	26	25
Gene1897	18	6	0	0	0	6	0	13	0	0
Gene1898	21	3	21	18	6	25	16	1	19	28
Gene1899	156	85	91	112	36	130	181	174	185	89
Gene1900	4	4	9	27	0	4	1	4	0	6
Gene1901	0	16	0	8	1	2	7	5	1	0
Gene1902	35	31	27	15	0	22	8	28	13	11
Gene1903	38	91	53	21	9	26	9	19	5	14
Gene1904	237	151	136	63	28	84	39	78	114	56
Gene1905	0	10	18	3	0	7	1	2	1	1
Gene1906	10	46	15	22	0	3	6	0	4	2
Gene1907	10	6	18	9	0	17	4	11	3	32
Gene1908	26	36	52	27	7	36	34	33	31	13
Gene1909	22	15	7	21	0	4	5	7	15	5
Gene1910	2	1	1	3	0	2	2	0	3	0
Gene1911	1	0	2	0	3	2	3	2	9	1
Gene1912	30	2	22	15	6	10	8	5	14	4
Gene1913	176	65	29	68	14	11	7	5	4	21
Gene1914	15	23	15	6	10	96	42	42	50	39
Gene1915	10	31	24	25	1	40	15	7	49	29
Gene1916	38	47	15	17	2	107	97	63	113	33
Gene1917	82	20	94	38	12	117	126	164	140	223
Gene1918	47	44	49	62	18	30	39	94	15	31
Gene1919	79	32	29	15	1	74	39	55	55	26
Gene1920	4	7	7	15	6	10	4	11	2	27
Gene1921	32	9	22	19	5	10	18	44	37	3
Gene1922	25	10	23	11	4	16	5	7	11	11
Gene1923	5	2	1	0	0	7	2	0	13	0
Gene1924	20	4	5	5	0	2	2	0	1	0
Gene1925	2	0	1	0	0	0	0	6	16	1
Gene1926	27	55	28	23	9	16	5	16	16	17
Gene1927	54	40	17	47	8	18	17	22	22	19
Gene1928	18	24	19	43	0	49	19	89	30	39
Gene1929	25	34	29	17	1	118	88	181	133	119
Gene1930	587	235	274	223	80	450	232	588	275	330
Gene1931	2	1	22	6	0	16	8	5	2	2
Gene1932	3	16	0	10	0	0	0	4	0	0
Gene1933	84	120	20	80	9	65	51	108	105	23
Gene1934	24	33	30	34	22	14	5	9	9	7
Gene1935	144	106	175	129	32	165	158	217	71	189
Gene1936	4	10	11	15	0	7	24	1	11	1
Gene1937	30	65	40	38	6	67	20	58	20	44
Gene1938	0	0	5	0	0	0	0	0	0	3
Gene1939	17	1	1	6	0	7	1	26	9	5
Gene1940	5	8	0	5	0	1	4	0	5	1
Gene1941	2	17	2	5	1	2	6	3	3	1
Gene1942	3	0	5	0	0	0	0	0	0	0
Gene1943	2	9	1	3	0	5	2	11	0	1
Gene1944	6	19	5	7	2	21	55	4	50	33
Gene1945	20	20	7	15	1	0	1	0	4	0
Gene1946	9	0	0	4	0	4	0	53	21	56
Gene1947	29	23	17	4	4	114	16	30	31	37
Gene1948	9	8	0	1	0	5	1	1	0	1
Gene1949	4	61	12	21	0	15	19	27	2	5
Gene1950	15	44	30	33	0	22	8	7	11	11
Gene1951	82	26	29	6	2	5	2	4	3	4
Gene1952	10	22	1	13	5	4	1	12	0	3
Gene1953	28	67	5	56	9	84	76	165	149	116
Gene1954	19	10	7	18	8	11	8	10	12	5
Gene1955	7	0	9	2	8	10	5	184	6	3
Gene1956	38	25	17	17	8	66	14	38	13	20
Gene1957	24	17	10	10	1	11	4	7	1	3
Gene1958	25	48	11	3	0	2	25	70	32	61
Gene1959	31	25	6	11	0	7	15	20	24	1
Gene1960	275	317	115	130	48	29	61	38	16	54
Gene1961	0	0	0	0	0	0	0	0	0	2
Gene1962	10	12	27	9	4	88	35	90	25	58
Gene1963	2	3	1	8	0	38	18	1	28	28
Gene1964	2	7	1	1	0	7	4	5	15	2
Gene1965	4	11	12	17	2	0	4	16	3	3
Gene1966	0	3	1	1	0	3	1	4	0	0
Gene1967	26	18	8	2	1	16	30	15	17	8
Gene1968	59	128	90	89	15	19	15	25	19	14
Gene1969	10	10	11	3	1	3	5	13	6	10
Gene1970	50	39	14	18	2	3	4	2	9	4
Gene1971	20	0	16	1	0	0	2	1	7	11
Gene1972	102	68	17	36	9	16	32	19	32	21
Gene1973	6	21	34	1	0	6	1	4	3	1
Gene1974	26	18	13	4	0	61	21	62	28	28
Gene1975	27	28	24	32	11	234	93	86	117	260
Gene1976	219	270	112	198	52	129	98	196	239	90
Gene1977	35	11	5	1	0	6	1	0	5	0
Gene1978	58	29	16	24	6	8	4	1	6	5
Gene1979	0	13	0	1	0	0	19	9	3	14
Gene1980	2	0	2	2	4	2	0	1	1	3
Gene1981	2	0	1	0	0	21	12	28	1	18
Gene1982	2	1	12	11	0	5	2	7	7	0
Gene1983	22	2	17	0	0	3	1	1	1	0
Gene1984	19	8	16	9	0	80	10	24	25	38
Gene1985	3	32	4	3	2	1	0	1	3	0
Gene1986	57	58	55	73	8	68	48	33	85	37
Gene1987	5	6	31	30	1	5	4	9	42	4
Gene1988	104	18	39	79	16	78	34	44	67	37
Gene1989	23	25	62	15	20	3	3	6	2	0
Gene1990	2	2	5	2	0	9	3	0	1	1
Gene1991	23	44	30	24	5	13	31	26	28	7
Gene1992	15	12	11	22	0	7	4	8	10	7
Gene1993	5	13	4	15	3	7	25	18	6	10
Gene1994	41	15	13	24	5	11	20	10	10	24
Gene1995	15	5	6	2	3	7	20	7	8	3
Gene1996	2	1	7	1	2	6	0	1	5	1
Gene1997	2	0	0	0	0	0	2	1	0	0
Gene1998	2	8	18	0	5	10	2	1	1	2
Gene1999	3	6	11	13	1	7	5	40	8	18
Gene2000	72	84	75	48	5	12	5	26	16	11
Gene2001	76	213	85	107	44	97	157	140	267	264
Gene2002	0	3	0	0	0	0	0	6	5	0
Gene2003	1382	963	822	742	247	176	295	411	257	208
Gene2004	17	0	1	2	1	0	0	10	10	4
Gene2005	280	153	159	96	11	102	65	187	178	137
Gene2006	31	51	4	26	0	4	3	6	5	0
Gene2007	8	9	10	11	4	0	1	0	4	5
Gene2008	207	172	156	144	35	46	17	63	38	34
Gene2009	7	10	13	6	2	6	11	19	2	3
Gene2010	2	0	3	0	0	0	4	2	2	2
Gene2011	11	5	4	1	0	0	2	0	0	0
Gene2012	39	34	57	28	7	25	15	109	13	38
Gene2013	91	45	97	45	15	25	17	24	82	45
Gene2014	6	0	0	1	0	0	1	0	1	0
Gene2015	63	23	43	44	2	45	12	15	57	12
Gene2016	13	6	16	6	2	36	38	2	18	16
Gene2017	9	10	4	25	1	4	5	0	6	0
Gene2018	0	1	3	7	0	0	1	2	0	0
Gene2019	7	1	3	1	0	5	2	3	12	2
Gene2020	9	9	10	8	1	46	24	63	17	19
Gene2021	0	2	7	10	6	16	7	24	11	0
Gene2022	31	32	36	1	2	62	14	76	79	33
Gene2023	8	5	0	3	0	21	6	7	61	1
Gene2024	6	23	7	9	0	8	0	9	2	2
Gene2025	1	4	0	0	0	0	0	0	6	2
Gene2026	56	37	45	29	7	118	61	77	120	57
Gene2027	32	5	43	43	1	14	7	12	11	12
Gene2028	91	46	28	55	3	51	157	42	156	107
Gene2029	32	117	157	89	15	82	63	86	269	122
Gene2030	3	8	16	21	2	29	24	143	47	6
Gene2031	12	21	24	22	6	14	1	6	8	7
Gene2032	49	39	11	48	12	246	294	454	217	179
Gene2033	65	41	71	39	4	98	48	168	91	68
Gene2034	15	13	24	20	0	11	8	6	10	3
Gene2035	31	37	30	90	8	49	66	35	12	41
Gene2036	6	3	12	27	5	2	1	13	0	12
Gene2037	24	21	34	7	1	5	3	8	2	3
Gene2038	40	57	53	22	8	10	15	28	5	13
Gene2039	3	6	6	3	0	2	7	4	7	1
Gene2040	12	2	4	2	2	87	17	12	21	34
Gene2041	15	32	21	36	2	29	24	19	45	34
Gene2042	22	25	28	11	11	44	38	8	34	25
Gene2043	0	7	1	0	1	3	1	5	0	0
Gene2044	5	4	26	2	0	6	2	13	4	4
Gene2045	49	67	41	55	11	154	47	83	66	109
Gene2046	0	0	0	0	0	0	0	2	3	4
Gene2047	0	14	5	3	0	2	0	0	13	2
Gene2048	344	327	508	522	108	666	531	982	1401	1107
Gene2049	0	0	0	0	0	0	0	0	3	0
Gene2050	17	7	7	5	10	4	6	6	6	2
Gene2051	6	13	1	6	0	49	20	33	123	86
Gene2052	16	4	6	0	0	4	1	12	2	5
Gene2053	172	107	132	108	16	981	1206	1004	1854	375
Gene2054	0	2	0	0	6	1	0	0	0	3
Gene2055	1	12	3	4	0	5	16	44	22	7
Gene2056	138	87	91	44	8	36	11	52	20	44
Gene2057	48	15	8	15	5	456	334	192	362	203
Gene2058	74	133	58	52	7	42	63	21	80	25
Gene2059	2	20	24	7	4	60	31	35	38	33
Gene2060	23	25	20	4	2	37	15	19	18	16
Gene2061	1	3	7	2	0	0	0	4	0	2
Gene2062	64	64	56	24	2	13	26	82	24	63
Gene2063	9	5	8	3	0	1	2	33	10	4
Gene2064	16	23	10	1	4	13	5	6	7	4
Gene2065	22	17	27	11	11	13	19	58	60	11
Gene2066	13	26	19	22	3	13	23	28	22	28
Gene2067	9	3	13	1	0	31	10	9	35	33
Gene2068	56	29	15	33	11	217	40	67	140	160
Gene2069	18	9	8	2	3	46	34	32	26	19
Gene2070	19	3	6	2	2	1	0	1	1	0
Gene2071	427	287	261	238	85	47	71	193	66	46
Gene2072	71	82	142	85	10	187	474	326	736	300
Gene2073	19	73	43	27	7	8	18	20	39	18
Gene2074	2	2	0	1	6	0	1	2	0	0
Gene2075	71	89	57	14	2	10	11	10	26	9
Gene2076	67	90	41	66	21	74	31	60	29	66
Gene2077	42	16	20	19	3	100	36	117	34	167
Gene2078	103	103	87	63	11	116	78	58	61	72
Gene2079	13	64	33	26	2	15	19	35	34	23
Gene2080	12	5	7	4	0	8	4	8	8	52
Gene2081	6	3	20	23	5	51	19	106	17	27
Gene2082	25	90	71	23	4	3	8	9	7	6
Gene2083	15	17	23	23	1	54	36	15	141	58
Gene2084	7	28	21	15	1	3	19	4	14	11
Gene2085	29	60	18	15	0	13	3	16	32	7
Gene2086	8	0	0	0	0	0	0	1	1	0
Gene2087	315	400	175	260	34	1922	958	1799	1837	1567
Gene2088	32	5	19	12	0	10	8	6	34	2
Gene2089	0	0	1	4	0	0	2	0	6	0
Gene2090	23	14	8	6	2	6	0	30	6	12
Gene2091	71	49	20	26	18	7	12	22	11	12
Gene2092	12	19	3	12	0	7	2	13	6	0
Gene2093	4	2	1	4	0	1	0	9	2	0
Gene2094	0	0	1	0	3	1	3	4	5	0
Gene2095	2	29	5	4	0	0	0	33	0	0
Gene2096	45	6	25	15	12	1	0	1	1	6
Gene2097	27	23	59	38	4	31	94	119	112	54
Gene2098	20	48	50	62	2	4	0	4	2	1
Gene2099	55	31	16	35	5	24	46	23	59	21
Gene2100	13	11	0	0	1	4	5	0	3	6
Gene2101	0	6	16	1	0	0	0	3	0	0
Gene2102	6	8	1	6	0	6	48	9	31	4
Gene2103	1	0	3	0	0	0	6	9	8	7
Gene2104	29	11	2	12	16	6	0	6	1	5
Gene2105	8	3	14	7	5	4	5	8	2	2
Gene2106	14	25	15	39	7	6	0	13	17	12
Gene2107	2	11	7	0	0	25	6	4	7	16
Gene2108	18	2	18	11	4	20	6	21	21	11
Gene2109	25	14	19	10	4	5	5	12	5	3
Gene2110	45	17	18	8	14	3	9	10	18	18
Gene2111	3	3	3	5	0	2	3	7	1	1
Gene2112	192	58	58	85	17	66	60	173	167	59
Gene2113	0	0	0	4	0	16	25	1	0	22
Gene2114	2	15	2	20	0	33	62	0	21	12
Gene2115	14	12	8	11	3	7	2	20	6	4
Gene2116	59	34	22	26	10	171	139	133	205	171
Gene2117	338	106	137	110	37	229	159	373	159	158
Gene2118	3	4	0	0	0	102	9	27	99	32
Gene2119	5	5	8	21	1	4	0	4	0	5
Gene2120	1	1	0	0	1	3	0	22	5	4
Gene2121	0	0	4	2	1	1	0	6	0	0
Gene2122	215	384	194	369	70	266	174	348	169	259
Gene2123	211	110	92	73	40	78	52	110	75	100
Gene2124	1	1	5	0	0	0	0	0	2	6
Gene2125	3	6	2	2	5	8	0	1	5	2
Gene2126	208	159	100	145	19	290	230	298	206	196
Gene2127	18	10	36	23	3	6	40	21	2	16
Gene2128	102	67	103	87	10	512	388	570	343	592
Gene2129	20	7	15	42	1	94	43	48	35	17
Gene2130	12	6	2	8	4	7	1	8	0	2
Gene2131	15	40	14	76	0	21	52	41	76	22
Gene2132	7	5	0	2	1	7	0	9	7	4
Gene2133	36	28	18	25	10	13	7	21	44	43
Gene2134	53	13	39	8	4	16	29	97	46	44
Gene2135	41	28	13	64	3	63	23	39	83	16
Gene2136	276	162	97	163	21	19	51	81	76	56
Gene2137	1	14	0	0	0	0	0	0	1	0
Gene2138	75	72	58	52	9	30	19	47	22	36
Gene2139	8	10	16	7	0	8	8	16	21	5
Gene2140	0	5	1	1	0	1	0	2	0	0
Gene2141	13	7	22	11	10	46	18	36	15	21
Gene2142	7	29	19	7	4	76	42	73	36	22
Gene2143	10	8	13	2	5	14	2	3	3	2
Gene2144	7	21	11	13	0	0	3	1	0	0
Gene2145	103	36	53	35	3	8	20	17	14	22
Gene2146	120	154	47	103	17	490	367	604	342	384
Gene2147	25	51	27	82	9	37	21	17	47	24
Gene2148	34	3	11	4	5	12	12	33	26	12
Gene2149	0	0	0	0	0	1	1	1	4	2
Gene2150	0	0	1	0	0	0	0	0	0	0
Gene2151	2	7	3	6	4	4	0	0	0	5
Gene2152	13	8	14	8	4	11	35	18	40	5
Gene2153	9	5	4	2	4	0	1	2	3	0
Gene2154	12	9	10	8	0	8	13	17	12	4
Gene2155	31	11	4	23	11	36	86	15	45	11
Gene2156	190	348	191	195	16	807	537	1441	1975	475
Gene2157	236	103	65	78	22	34	118	252	117	133
Gene2158	16	19	53	13	14	17	35	63	24	9
Gene2159	144	73	136	88	14	469	284	468	238	433
